Rang;Réseau;Station;Trafic;Correspondance_1;Correspondance_2;Correspondance_3;Correspondance_4;Correspondance_5;Ville;Arrondissement pour Paris
49;RER;LA VARENNE-CHENNEVIERES;1843351;A;;;;;saint-Maur des Fossés;
236;Métro;CITE;2180696;4;;;;;Paris;4
38;Métro;OLYMPIADES;6993593;14;;;;;Paris;13
40;Métro;GRANDS BOULEVARDS;6921912;8;9;;;;Paris;9
245;Métro;BOISSIERE;2069921;6;;;;;Paris;16
63;Métro;MIROMESNIL;5884392;9;13;;;;Paris;8
52;Métro;MARCADET-POISSONNIERS;6434442;4;12;;;;Paris;18
300;Métro;BUTTES-CHAUMONT;448126;7bis;;;;;Paris;19
72;Métro;DAUMESNIL;5379401;6;8;;;;Paris;12
55;Métro;CONCORDE;6336283;1;8;12;;;Paris;8
53;RER;FONTENAY-AUX-ROSES;1090737;B;;;;;Fontenay aux roses;
110;Métro;LE KREMLIN-BICETRE;4344822;7;;;;;Kremlin-Bicêtre;
83;Métro;PYRAMIDES;5054993;7;14;;;;Paris;1
301;Métro;PELLEPORT;363122;3bis;;;;;Paris;20
